name,rating,reviews,price_range,street,postal_code,nb_photos,Latitude,Longitude,Business_type
El Arbol Brunch,4.5,39.0,[12 - 33],"Carrer d' Aribau, 36",08011 Barcelona,77,41.3873145,2.1610887,restaurant
Las Sorrentinas,4.5,44.0,under 11,"Plaça de Sant Pere, 5",08003 Barcelona,84,41.389255299999995,2.1794272,restaurant
Luigi,4.5,43.0,[12 - 33],"Carrer de Roger de Llúria, 50",08009 Barcelona,38,41.3929049,2.1695471,restaurant
Chen Ji,4.0,98.0,under 11,"Carrer d'Ali Bei, 65",08013 Barcelona,139,41.393713700000006,2.1806039,restaurant
El Quim de la Boqueria,4.5,253.0,[12 - 33],"La Rambla, 91",,1114,,,restaurant
Rosa Negra,4.0,230.0,[12 - 33],"Via Laietana, 46",08003 Barcelona,254,41.3864448,2.1756405,restaurant
La Paradeta,4.5,44.0,[34 - 66],"Passatge de Simó, 18",08025 Barcelona,534,41.4044826,2.1734207999999997,restaurant
Babula,5.0,2.0,,"Carrer de Pau Claris, 139",08009 Barcelona,11,41.3934507,2.1654782000000004,restaurant
La Paradeta,4.5,155.0,[12 - 33],"Passatge de Simó, 18",08025 Barcelona,534,41.4044826,2.1734207999999997,restaurant
Batuar,4.5,8.0,over 67,Cotton House,,46,,,restaurant
La Alcoba Azul,4.5,132.0,[12 - 33],"Carrer de Sant Domenec del Call, 14",08002 Barcelona,188,41.3829285,2.1755621,restaurant
Doña Rosa,4.5,2.0,,,,,,,restaurant
Lasarte,4.5,67.0,over 67,,,,,,restaurant
Paella Bar,4.0,44.0,[12 - 33],"Pòrtics de la Boqueria, s/n",,132,,,restaurant
La Lluna,4.5,28.0,[12 - 33],"Carrer de Santa Anna, 20",08002 Barcelona,52,41.3852956,2.171631,restaurant
Tantarantana,4.5,63.0,[12 - 33],"Carrer Tantarantana, 24",08003 Barcelona,194,41.3867328,2.1815041,restaurant
Pepito,4.5,27.0,[34 - 66],"Passatge de Domingo, 3",08007 Barcelona,118,41.3926526,2.162492,restaurant
Tandoori Nights,4.5,48.0,under 11,"Carrer de les Carretes, 44",08001 Barcelona,148,41.3775223,2.1671694,restaurant
Eden,4.5,118.0,[12 - 33],,,,,,restaurant
Botafumeiro,4.0,169.0,over 67,"Carrer Gran de Gràcia, 81",08012 Barcelona,525,41.4003249,2.1545210999999997,restaurant
L’Amfora Barcelona,4.5,30.0,[34 - 66],"Avinguda del Paraŀlel, 184",08015 Barcelona,107,41.3752526,2.1534956000000003,restaurant
Los Pergaminos,4.5,84.0,[12 - 33],,,,,,restaurant
La Pineda,4.5,24.0,[12 - 33],"Carrer del Pi, 16",08002 Barcelona,90,41.383598799999994,2.1740152000000004,restaurant
Restaurante Bodega Joan,4.0,35.0,[12 - 33],"Carrer del Rosselló, 164",08036 Barcelona,130,41.391701399999995,2.1554805,restaurant
Els Pollos de Llull,4.5,21.0,[12 - 33],"Carrer de Ramon Turró, 13",08005 Barcelona,41,41.3910248,2.1908749,restaurant
Bella Italia,4.5,9.0,[12 - 33],"Carrer de Roger de Llúria, 87",08009 Barcelona,23,41.39510870000001,2.1660631,restaurant
El Boliche del Gordo Cabrera,4.0,18.0,[12 - 33],"Carrer del Consell de Cent, 338",08009 Barcelona,47,41.3929342,2.1683407000000003,restaurant
La Fermata,4.5,56.0,under 11,"Carrer de Provença, 243",08008 Barcelona,112,41.3940047,2.1603237,restaurant
El Xampanyet,4.5,279.0,[12 - 33],"Carrer de Montcada, 22",08003 Barcelona,673,41.3844025,2.1816598,restaurant
Salterio,4.5,66.0,[12 - 33],"Carrer de Sant Domènec del Call, 4",08002 Barcelona,115,41.382522200000004,2.1760829,restaurant
Cremat 11,5.0,15.0,,"Carrer Cremat Gran, 11",08003 Barcelona,32,41.3856044,2.1810658,restaurant
Cecconi’s,4.5,26.0,[34 - 66],"Passeig de Colom, 20",08002 Barcelona,98,41.3784789,2.1793752,restaurant
Rosat’s,4.5,2.0,under 11,"Carrer Creu Coberta, 58",08014 Barcelona,11,41.3753239,2.1453898,restaurant
Pirineu en Boca,4.5,14.0,[12 - 33],"Carrer de Girona, 17",08010 Barcelona,72,41.3915292,2.1750943,restaurant
Gaudim,4.5,53.0,[34 - 66],"Carrer d'Aragó, 231",08007 Barcelona,168,41.390363,2.1619743,restaurant
Le Cucine Mandarosso,4.5,73.0,[12 - 33],"Carrer de Verdaguer i Callís, 4",08003 Barcelona,96,41.3869211,2.1762173,restaurant
Bella Istanbul,5.0,2.0,under 11,"Carrer del Consell de Cent, 313",08007 Barcelona,4,41.38931779999999,2.1631522999999997,restaurant
Abirradero,4.5,27.0,[12 - 33],"Carrer Vila i Vila, 77",08004 Barcelona,52,41.3740854,2.1685298,restaurant
Bodega La Puntual,4.5,57.0,[12 - 33],"Carrer de Montcada, 22",08003 Barcelona,185,41.3844025,2.1816598,restaurant
The Ranch Smokehouse,4.0,9.0,,"Ronda de la Universitat, 20",08007 Barcelona,39,41.3868159,2.1676502999999996,restaurant
Alsur Café & Backdoor Bar,5.0,20.0,under 11,"Carrer de la Ribera, 18",08003 Barcelona,55,41.385735700000005,2.1852047000000003,restaurant
La Paradeta,4.5,206.0,[12 - 33],"Passatge de Simó, 18",08025 Barcelona,534,41.4044826,2.1734207999999997,restaurant
Lluritu,5.0,5.0,,"Carrer del Torrent de les Flors, 71",08024 Barcelona,27,41.4066843,2.1595484000000003,restaurant
Bonavida,4.5,10.0,under 11,"Carrer de Casp, 22",08010 Barcelona,31,41.3892607,2.1709098,restaurant
Morryssom,4.0,54.0,under 11,"Carrer de Girona, 162",08037 Barcelona,67,41.399539399999995,2.165152,restaurant
La Esquina,4.5,31.0,[12 - 33],,,,,,restaurant
Sagardi BCN Gòtic,4.0,125.0,[12 - 33],"Carrer de l'Argenteria, 62",08003 Barcelona,208,41.3834589,2.180891,restaurant
Mastica,5.0,6.0,,"Carrer del Carme, 40",08001 Barcelona,30,41.3820018,2.1696242000000003,restaurant
Bar Rubí,4.5,38.0,under 11,"Carrer Banys Vells, 6",08003 Barcelona,71,41.3845481,2.1804156000000003,restaurant
Foc i Oli,5.0,91.0,[12 - 33],"Carrer Aribau, 91",08036 Barcelona,131,41.3899194,2.157061,restaurant
Bell e Buon,5.0,30.0,[34 - 66],"Travessera de Grácia, 441",08025 Barcelona,49,41.4113773,2.1731756,restaurant
La Plata,4.5,126.0,under 11,"Carrer de la Mercè, 28",08002 Barcelona,201,41.3804545,2.1806229999999998,restaurant
Roast Club Cafe,5.0,16.0,[12 - 33],"Carrer Valencia, 143",08011 Barcelona,28,41.3872855,2.1559084,restaurant
Brasayleña,5.0,2.0,,C.C. les Glories,,11,,,restaurant
Somewhere,4.5,28.0,under 11,"Carrer d'Aragó, 310",08009 Barcelona,41,41.3945865,2.1685298,restaurant
Can Ros,4.5,10.0,under 11,"Carrer Roger de Flor, 303",08025 Barcelona,11,41.4050359,2.1640479,restaurant
The Fish & Chips Shop,4.5,44.0,under 11,"Carrer de Rocafort, 70",08015 Barcelona,54,41.3786276,2.1544697999999998,restaurant
Tabarlot,4.5,44.0,[12 - 33],"Carrer de San Pau, 4",08001 Barcelona,183,41.3807909,2.1730484,restaurant
Bar But,4.5,11.0,[12 - 33],"Carrer de Bonavista, 8",08012 Barcelona,36,41.3979822,2.1593598999999997,restaurant
Bacaro,4.5,19.0,[12 - 33],"Carrer de Jerusalem, 6",08001 Barcelona,65,41.381219,2.1715394,restaurant
Zarautz,4.5,122.0,[12 - 33],"Carrer de l'Elisi, 13",08014 Barcelona,254,41.378102500000004,2.1433603,restaurant
Sol Soler,4.0,56.0,under 11,"Plaça del Sol, 21",08012 Barcelona,83,41.401523,2.1563439,restaurant
Amarre 69,4.5,14.0,[12 - 33],"Paseo Juan de Borbón, 69",08003 Barcelona,23,41.375930700000005,2.1892457999999997,restaurant
Uma,5.0,16.0,,"Carrer de Mallorca, 275",08008 Barcelona,105,41.3948167,2.1635591,restaurant
Brunch & Cake,4.5,54.0,[12 - 33],"Carrer d'Enric Granados, 145",08008 Barcelona,85,41.3942674,2.1536372000000004,restaurant
TAPS,5.0,31.0,under 11,"Carrer de Mare de Deu del Remei, 53",08004 Barcelona,80,41.372819899999996,2.1556532,restaurant
Bodega La Palma,4.5,37.0,[12 - 33],"Carrer de la Palma de Sant Just, 7",08002 Barcelona,66,41.382332,2.1785576,restaurant
El Brunch del Majestic,4.0,1.0,,"Passeig de Gracia, 68",08007 Barcelona,21,41.3935221,2.163977,restaurant
Viet Kitchen,4.5,5.0,,"Carrer d'Aribau, 137",08036 Barcelona,20,41.3919859,2.1542665000000003,restaurant
Hänsel,4.5,73.0,under 11,"Carrer de Provença, 237",08008 Barcelona,131,41.3934525,2.1595886,restaurant
Maestró,4.0,33.0,[12 - 33],"Rambla de Catalunya, 79",08007 Barcelona,119,41.391875399999996,2.1618703,restaurant
210 Grammi,5.0,2.0,,,,,,,restaurant
