,name,Rating,Review count,Price range,Category,Neighbourhood,nb_photos,street,postal_code
122,Cremat 11,5.0,15,,Breakfast & Brunch,"Sant Pere, Santa Caterina i la Ribera-Born",41,"Carrer Cremat Gran, 11",08003 Barcelona
123,Cecconi’s,4.5,26,[34 - 66],Italian,Barri Gòtic,67,"Passeig de Colom, 20",08002 Barcelona
124,Rosat’s,4.5,2,under 11,Spanish,Sants,,"Carrer Creu Coberta, 58",08014 Barcelona
125,Rosat’s,4.5,2,under 11,Spanish,Sants,43,"Carrer Creu Coberta, 58",08014 Barcelona
126,Pirineu en Boca,4.5,14,[12 - 33],Spanish,L'Eixample,30,"Carrer de Girona, 17",08010 Barcelona
127,Pirineu en Boca,4.5,14,[12 - 33],Spanish,L'Eixample,11,"Carrer de Girona, 17",08010 Barcelona
128,Gaudim,4.5,53,[34 - 66],Tapas Bars,L'Eixample,71,"Carrer d'Aragó, 231",08007 Barcelona
129,Le Cucine Mandarosso,4.5,73,[12 - 33],Italian,"Sant Pere, Santa Caterina i la Ribera-Born",49,"Carrer de Verdaguer i Callís, 4",08003 Barcelona
130,Bella Istanbul,5.0,2,under 11,Turkish,L'Eixample,201,"Carrer del Consell de Cent, 313",08007 Barcelona
131,Abirradero,4.5,27,[12 - 33],Beer Bar,El Poble-sec,28,"Carrer Vila i Vila, 77",08004 Barcelona
132,Bodega La Puntual,4.5,57,[12 - 33],Catalan,"Sant Pere, Santa Caterina i la Ribera-Born",183,"Carrer de Montcada, 22",08003 Barcelona
133,The Ranch Smokehouse,4.0,9,,American (Traditional),L'Eixample,36,"Ronda de la Universitat, 20",08007 Barcelona
134,Alsur Café & Backdoor Bar,5.0,20,under 11,Cocktail Bars,"Sant Pere, Santa Caterina i la Ribera-Born",65,"Carrer de la Ribera, 18",08003 Barcelona
135,Lluritu,5.0,5,,Seafood,Gràcia,83,"Carrer del Torrent de les Flors, 71",08024 Barcelona
136,Bonavida,4.5,10,under 11,Pubs,L'Eixample,23,"Carrer de Casp, 22",08010 Barcelona
