,Restaurant names,Rating,Review count,Price range,Category,Neighbourhood,Location,Website
80,Las Sorrentinas,4.5,44,€,Italian,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer de Pau Claris, 139--08009 Barcelona--Spain",
81,Eat My Trip,4.5,73,€€,Breakfast & Brunch,L'Eixample,"Cotton House--Gran Via de les Corts Catalanes, 670--08010 Barcelona--Spain",http://www.hotelcottonhouse.co…
82,Luigi,4.5,43,€€,Pizza,L'Eixample,"Carrer de Sant Domenec del Call, 14--08002 Barcelona--Spain",
83,Billy Brunch,5,42,,Breakfast & Brunch,L'Eixample,,
84,Chen Ji,4,98,€,Chinese,L'Eixample,,
85,El Quim de la Boqueria,4.5,253,€€,Tapas Bars,El Raval,"Pòrtics de la Boqueria, s/n--Locals, 6-7--Mercat de la Boqueria--08001 Barcelona--Spain",
86,Rosa Negra,4,230,€€,Mexican,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer de Santa Anna, 20--08002 Barcelona--Spain",http://www.lallunarestaurant.c…
87,La Paradeta,4.5,44,€€€,Seafood,L'Eixample,"Carrer Tantarantana, 24--08003 Barcelona--Spain",http://www.gruposantelmo.com/e…
88,Babula,5,2,,Cocktail Bars,L'Eixample,"Passatge de Domingo, 3--08007 Barcelona--Spain",http://pepitorestaurante.com/
89,La Paradeta,4.5,155,€€,Seafood,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer de les Carretes, 44--08001 Barcelona--Spain",https://www.tandoorinightsbcn.…
90,Batuar,4.5,8,€€€€,Mediterranean,L'Eixample,,
91,La Alcoba Azul,4.5,132,€€,Tapas Bars,Barri Gòtic,"Carrer Gran de Gràcia, 81--08012 Barcelona--Spain",http://www.botafumeiro.es
92,Doña Rosa,4.5,2,,Mediterranean,El Raval,"Avinguda del Paraŀlel, 184--08015 Barcelona--Spain",http://www.restaurantamfora.co…
93,Lasarte,4.5,67,€€€€,Spanish,L'Eixample,,
94,Paella Bar,4,44,€€,Spanish,El Raval,"Carrer del Pi, 16--08002 Barcelona--Spain",
