Address,Latitude,Longitude
"Gran Via de les Corts Catalanes, 389-391 08015 Barcelona",41.3765644,2.1505279
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Carrer de Sant Pau, 9 08001 Barcelona",41.3799896,2.1728541
"Via Laietana, 17 08003 Barcelona",41.3832936,2.1792409
"Plaça d'Urquinaona, 2 08010 Barcelona",41.3892128,2.1726015
"Rambla de Catalunya, 7-9 08007 Barcelona",41.3875467,2.1673975
"Carrer de Còrsega, 289 08008 Barcelona",41.3945776,2.1564782
"Carrer de Girona, 168 08037 Barcelona",41.3997542,2.1647763
"Plaça del Sol, 23 08012 Barcelona",41.4014072,2.156544
"Avinguda de Sarrià, 50 08029 Barcelona",41.391058,2.141706
"Calle Diputacio, 142 - 144 08015 Barcelona",41.3826532,2.1571114
"Carrer de València, 105-107 08011 Barcelona",41.3860105,2.1542331
"Via Laietana, 61 08003 Barcelona",41.3877322,2.1731364
"La Rambla, 105 08002 Barcelona",41.3827894,2.1715636
"Plaza Europa, 45 08908 Hospitalet de Llobregat",41.35489,2.12554
"Carrer del General Castaños, 14 08003 Barcelona",41.3836481,2.1851829
"Carrer de la Diputació, 250 08007 Barcelona",41.3887977,2.1653631
"Carrer de Calàbria, 90-92 08015 Barcelona",41.37913,2.1560836
"Carrer Napoles, 230 08013 Barcelona",41.400769,2.1724972
"Paseo Pujades, 17 08018 Barcelona",41.3927773,2.1883414
"Via Laietana, 69 08003 Barcelona",41.3878251,2.1729455
"Calle Maladeta, 51 08950 Esplugues De Llobregat",41.3721863,2.0999539
Calle de Sepúlveda 180 08011 Barcelona,41.3832309,2.1629669
"Carrer de la Diputació, 325 08009 Barcelona",41.39395,2.1711785
"Carrer Escudellers, 19 08002 Barcelona",41.3794618,2.1760157
"Travessera de les Corts, 292 08029 Barcelona",41.3874135,2.1366293
"Avenida Diagonal, 161 08018 Barcelona",41.4052879,2.1961972
Consejo de Ciento 74 08015 Barcelona,41.3791995,2.1503385
"Avinguda del Tibidabo, 1 08022 Barcelona",41.4107156,2.1362588
"C Comte D'urgell, 232 08036 Barcelona",41.3896906,2.1489764
"Carrer Sant Gervasi de Cassoles, 26 08022 Barcelona",41.4047427,2.1388848
"Avinguda Diagonal, 568 08021 Barcelona",41.3944332,2.1500603
"Paseo Mallorca, 362 08013 Barcelona",41.400701,2.1720231
"C Valencia, 154 08011 Barcelona",41.3861186,2.1548665
"Calle Pelai, 9 - 1 1 08001 Barcelona",41.3859194,2.166553
"Calle Gran VIA de LES Corts Catalanes, 570 08011 Barcelona",41.3841429,2.1616896
C/ Arc del Teatre 58 08001 Barcelona,41.3754118,2.1728703
"Calle Corsega, 200 08036 Barcelona",41.3909778,2.1523338
Calle ProvenÇa 195 08008 Barcelona,41.3918818,2.1573417
"Carrer de Santa Rosa, 33 08950 Barcelona",41.3854808,2.1018838
"Portal de l'Àngel,17 08002 Barcelona",41.3854881,2.1728485
Carretera Reial A 0 08960 Sant Just Desvern,41.3796791,2.0665186
"Calle Boria, 24 08003 Barcelona",41.384686,2.1790825
"Calle Gravina, 5 08001 Barcelona",41.3853246,2.1656601
c/ Joaquin Costa 40 08001 Barcelona,41.3827157,2.165901
"Carrer d'Aragó, 300 08009 Barcelona",41.3938038,2.1676127
"Avinguda del Litoral, 10 08005 Barcelona",41.3856986,2.1948128
"Carrer de l'Equador, 20 08029 Barcelona",41.3857581,2.1405935
Plaza Dr. Letamendi 37 08007 Barcelona,41.3887415,2.1616405
"Avinguda de la Pallaresa, 73 08921 Santa Coloma de Gramenet",41.4525932,2.201993
"Avinguda Diagonal, 661 08028 Barcelona",41.3830227,2.1095883
"Calle Carders, 6 08003 Barcelona",41.3859252,2.1800353
"C Jaume I, 11 08002 Barcelona",41.3833363,2.1778807
"Ronda Sant Pere, 32 08010 Barcelona",41.389442,2.1747102
"Via Laietana, 24 08003 Barcelona",41.3844474,2.1783805
"Gran Via de les Corts Catalanes, 619 08007 Barcelona",41.3905421,2.1692957
"Carrer d'Estruc, 24 - 26 08002 Barcelona",41.3870374,2.1726373
"Carrer Pelai, 14 08001 Barcelona",41.3856371,2.165958
"Passeig García i Faria, 69-71 08019 Barcelona",41.3850494,2.1733247
"Gran Vía de les Corts Catalanes, 642 08007 Barcelona",41.3900159,2.1695056
"Calle Salva, 78 08004 Barcelona",41.3715273,2.1647985
"Plaza Llibertat, 1 08012 Barcelona",41.3998746,2.1539571
"Carrer de Bretón de los Herreros, 26 08012 Barcelona",41.4021007,2.1511813
"Carrer del Consell de Cent, 74 08015 Barcelona",41.3791995,2.1503385
"Carrer de Bergara, 11 08002 Barcelona",41.3865706,2.1683379
"Carrer del Bruc, 42 08010 Barcelona",41.39183,2.173048
"Carrer de Provença, 340 08037 Barcelona",41.3976887,2.1658045
"RO San Pere, 0024 08010 Barcelona",41.3919671,2.1757278
"Carrer de Jose Augustin Goytisolo, 9-11 08908 Hospitalet de Llobregat",41.3522876,2.1273413
"Ronda de Sant Pere, 27 08010 Barcelona",41.3899693,2.174795
"Carrer de Pelai, 6 08001 Barcelona",41.3856473,2.1651295
"Carrer de Calatrava, 32 08017 Barcelona",41.3999345,2.1300938
"Rambla del Raval, 4C 08001 Barcelona",41.3790252,2.1683756
