Address,Latitude,Longitude
"Carrer de Jerusalem, 6 08001 Barcelona",41.381219,2.1715394
"Carrer de l'Elisi, 13 08014 Barcelona",41.3781025,2.1433603
"Plaça del Sol, 21 08012 Barcelona",41.401523,2.1563439
"Paseo Juan de Borbón, 69 08003 Barcelona",41.3759307,2.1892458
"Carrer de Mallorca, 275 08008 Barcelona",41.3948167,2.1635591
"Carrer d'Enric Granados, 145 08008 Barcelona",41.3942674,2.1536372
"Carrer de Mare de Deu del Remei, 53 08004 Barcelona",41.3728199,2.1556532
"Carrer de la Palma de Sant Just, 7 08002 Barcelona",41.382332,2.1785576
"Passeig de Gracia, 68 08007 Barcelona",41.3935221,2.163977
"Carrer d'Aribau, 137 08036 Barcelona",41.3919859,2.1542665
"Carrer de Provença, 237 08008 Barcelona",41.3934525,2.1595886
"Rambla de Catalunya, 79 08007 Barcelona",41.3918754,2.1618703
,,
"Carrer d'Entença, 2 08015 Barcelona",41.3754878,2.1562676
"Calle del Carme, 19 08001 Barcelona",41.3823278,2.1708235
"Carrer de Pau Claris, 142 08009 Barcelona",41.3939325,2.1659214
"Carrer de la Marina, 19 - 21 08005 Barcelona",41.3867496,2.1970155
"Carrer dels Sombrerers, 7 08003 Barcelona",41.3838787,2.1820567
"Carrer d'Astúries, 17 08012 Barcelona",41.4030423,2.1535234
"Carrer de l'Almirall Churruca, 4 08003 Barcelona",41.378983,2.1895816
"Carrer Carders, 6 08003 Barcelona",41.3859252,2.1800353
"Carrer de la Llibreteria, 10 08002 Barcelona",41.3831724,2.1773915
"Carrer de la Plata, 4 08002 Barcelona",41.3801927,2.1806929
Carrer de Verdaguer i Callís 9 08003 Barcelona,41.3872287,2.1756873
"Rambla de  Catalunya, 91 08008 Barcelona",41.3928668,2.1607347
"Carrer de Doctor Fleming, 10 08017 Barcelona",41.3934556,2.1357
"Carrer del Parlament, 54 08015 Barcelona",41.3772598,2.1639537
"Gran Via de les Corts Catalanes, 688 08010 Barcelona",41.3930619,2.1738039
"Carrer de València, 267 08007 Barcelona",41.3940689,2.1648449
,,
"Rambla de Catalunya, 3 08007 Barcelona",41.3874797,2.1678389
"Carrer de Sant Antoni dels Sombrerers, 3 08003 Barcelona",41.3841894,2.1816436
"Passeig Marítim de la Barceloneta, 32 08003 Barcelona",41.3849812,2.1962771
"Avinguda de Rius i Taulet, 1-3 08004 Barcelona",41.3724753,2.1550853
"Gran Via de les Corts Catalanes, 618 08007 Barcelona",41.3877176,2.1666298
"La Rambla del Estudis, 115 08002 Barcelona",41.3841697,2.1707127
"Carrer d'Aragó, 214 08011 Barcelona",41.388256,2.1599542
"Carrer del Baluard, 56 08003 Barcelona",41.3792719,2.1892178
"Carrer de Mallorca, 251 08008 Barcelona",41.3932082,2.1614618
"Plaça Santa Caterina, 1 08003 Barcelona",41.385617,2.1785277
"Carrer de Viladomat, 131 08015 Barcelona",41.3809037,2.1554963
"Carrer del Parlament, 53 08015 Barcelona",41.3776587,2.1636934
"Carrer dels Tiradors, 3-5 08003 Barcelona",41.3879625,2.1806766
"Passeig de Gràcia, 73 08008 Barcelona",41.39343,2.1624077
"Carrer d'Aribau, 125 08036 Barcelona",41.3913544,2.1552118
"Carrer del Consell de Cent, 465 08013 Barcelona",41.3989092,2.1757854
"Carrer Minerva, 8 08006 Barcelona",41.3966759,2.1562957
"Carrer de Jaume I, 8-10 08002 Barcelona",41.3832254,2.177919
"Carrer del Consolat de Mar, 15 08003 Barcelona",41.3821553,2.1817794
"Carrer de la Diputació, 321 08009 Barcelona",41.3936613,2.170929
,,
"Carrer de València, 352 08009 Barcelona",41.3973225,2.1696483
"Carrer del Comte Borrell, 81 08015 Barcelona",41.3786903,2.1606507
"Carrer de Viladomat, 138 08015 Barcelona",41.3814111,2.1553719
"Carrer d'Entença, 57 08015 Barcelona",41.3781022,2.1522518
"Carrer de Balmes, 106 08008 Barcelona",41.3923418,2.158896
"Carrer d'Avinyó, 30 08002 Barcelona",41.3807517,2.1772425
"Carrer de Montcada, 2 08003 Barcelona",41.385611,2.1800184
"Carrer d'Elisabets, 2 08001 Barcelona",41.383715,2.1691013
"Passeig de Joan de Borbó, 101 08039 Barcelona",41.3688689,2.1882247
"Carrer de Consell de Cent, 308 08007 Barcelona",41.3908105,2.1655172
"Carrer de la Princesa, 23 08003 Barcelona",41.3853345,2.1803508
"Carrer de Valencia, 227 08007 Barcelona",41.3913406,2.1611795
"Carrer del Comte Borrell, 119 08015 Barcelona",41.3804239,2.1582305
"Carrer de Sant Pau, 110 08001 Barcelona",41.3764929,2.1691511
"Gran Via de les Corts Catalanes, 667 08010 Barcelona",41.394243,2.1737986
"Carrer Nou de la Rambla, 105 08001 Barcelona",41.3752139,2.1704171
"Rambla de Catalunya, 12 08007 Barcelona",41.3883944,2.1680884
"Carrer de Pau Claris, 190 08037 Barcelona",41.396622,2.1621966
"Avinguda Diagonal, 465 08036 Barcelona",41.3931791,2.1472581
"Carrer de la Diputació, 375 08013 Barcelona",41.3969984,2.1754782
"Carrer de la Diputació, 269 08007 Barcelona",41.3909063,2.1675218
"Carrer del Rosselló, 253 08008 Barcelona",41.3953467,2.1592797
"Carrer del Consell de Cent, 339 08007 Barcelona",41.3905679,2.1646678
"Carrer de Tamarit, 142 08015 Barcelona",41.3778799,2.1602392
"Carrer de Ramon Trias Fargas, 2 08005 Barcelona",41.3851321,2.1968292
"Via Laietana, 32 08003 Barcelona",41.385504,2.1772765
"Carrer de València, 163 08011 Barcelona",41.3881311,2.1570434
"Carrer de Muntaner, 66 08011 Barcelona",41.3870859,2.1590225
