,Pub names,Rating,Review count,Price range,Category,Neighbourhood,Location,Website
208,El Circulo,5.0,1,€€,Pubs,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer de la Riera Alta, 59--08001 Barcelona--Spain",http://wearefoxy.com/
209,Um Que Rico,5.0,1,,Pubs,Poblenou,"Carrer de Còrsega, 589-591--08025 Barcelona--Spain",
210,Um Que Rico,5.0,1,,Pubs,Poblenou,,
211,Gente de Pasta,5.0,1,,Pubs,L'Eixample,Calle Maquinista 13--08003 Barcelona--Spain,
212,Gris,3.0,1,,Pubs,Sants,"Carrer de Provença, 159--08036 Barcelona--Spain",
213,Bar Manolo,4.0,4,,Sports Bars,El Raval,"Carrer del Poeta Cabanyes, 6--08004 Barcelona--Spain",http://pasapalobarcelona.es
214,Foxy Bar,4.0,11,€€,Dive Bars,El Raval,"Carrer Rossello, 495--08025 Barcelona--Spain",
215,BeeriVins,5.0,2,€€,Wine Bars,L'Eixample,"Carrer de Santa Mònica, 2--08001 Barcelona--Spain",http://www.wildroverbarcelona.…
216,Central 134,,,€,Pubs,L'Eixample,"Carrer dels Còdols, 21--08002 Barcelona--Spain",
217,Bar la Maquinista,4.0,1,,Pubs,Barceloneta,"Carrer Ramón y Cajal, 35--08012 Barcelona--Spain",http://mexcla.es/
218,Aloha,4.0,8,,Cocktail Bars,L'Eixample,"Carrer del Rosselló, 174--08036 Barcelona--Spain",
219,Pasapalo,5.0,15,€€,Pubs,El Poble-sec,"Passeig del Born, 21--08003 Barcelona--Spain",
220,Mora,3.0,1,,Pubs,L'Eixample,Calle Poblenou 149--08018 Barcelona--Spain,
221,Wild Rover Barcelona,2.0,3,€€,Sports Bars,El Raval,Rambla de Santa Mònica 23--08002 Barcelona--Spain,
222,Red Rocket,4.0,3,,Pubs,Barri Gòtic,Calle Born 17--08003 Barcelona--Spain,
223,Cheers,3.0,1,,Pubs,El Raval,"Carrer de Marià Aguiló, 131--08005 Barcelona--Spain",http://www.lapubilladeltaulat.…
224,Mexcla,4.0,29,€,Mexican,Gràcia,"Plaça de la Sagrada Família, 6--08013 Barcelona--Spain",
225,La Abadiba,,,,Pubs,L'Eixample,"Carrer de Pallars, 122--08018 Barcelona--Spain",http://denou.bar/
226,No Sé,4.0,8,€€,Cocktail Bars,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer de Llull, 155--08005 Barcelona--Spain",
227,Vic-Lor Scp,5.0,1,,Pubs,Sant Martí,"Carrer Mozart , 18--08012 Barcelona--Spain",
228,Bloomsday Literary Pub,2.5,2,,Pubs,,"Calle Entença, 85--08015 Barcelona--Spain",
229,Tripode,3.5,4,,Pubs,"Sant Pere, Santa Caterina i la Ribera-Born",Calle Llull 159--08005 Barcelona--Spain,
230,La Pubilla del Taulat,4.5,11,€€,Bars,Poblenou,"Carrer d'Espalter, 4--08001 Barcelona--Spain",http://www.sifo.es
231,Bloomsday Literary Pub,2.5,2,,Pubs,,"Carrer del Baluart, 54--08003 Barcelona--Spain",
