,Pub names,Rating,Review count,Price range,Category,Neighbourhood,Location,Website
57,Oviso,4.0,64,€,Pubs,Barri Gòtic,"Carrer d'Arai, 5--08002 Barcelona--Spain",http://www.barnawood.com
58,Touch Music Karaoke,4.5,8,€€,Karaoke,La Vila Olímpica,"Carrer de Joan Miró, 8--08005 Barcelona--Spain",http://www.karaokebarcelona.co…
59,Sor Rita,4.5,22,€,Pubs,Barri Gòtic,"Carrer de La Mercé, 27--08002 Barcelona--Spain",http://www.sorritabar.es/
60,La Barrica,3.0,1,€,Pubs,L'Eixample,"Carrer Concell de Cent, 313--08007 Barcelona--Spain",
61,Arcano,4.5,292,€€€,Spanish,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer dels Mercaders, 10--08003 Barcelona--Spain",http://www.arcanobcn.com
62,Bar Zodiaco,4.0,19,€,Tapas Bars,El Poble-sec,"Carrer de Margarit, 17--08004 Barcelona--Spain",
63,Big Bang Bar,4.0,10,€,Pubs,El Raval,"Carrer Botella, 7--08001 Barcelona--Spain",http://www.bigbangbarcelona.co…
64,Maestró,4.0,33,€€,Beer Bar,L'Eixample,"Rambla de Catalunya, 79--08007 Barcelona--Spain",http://www.maestrobcn.com/
65,Belchica,3.5,8,€€,Pubs,L'Eixample,"Carrer de Villarroel, 60--08011 Barcelona--Spain",http://belchica.be
66,Xpressing Underground Club,4.0,1,€€,Pubs,L'Eixample,"Carrer de Balmes, 69--08007 Barcelona--Spain",http://www.xpressingundergroun…
67,Lunatic,4.5,5,€€,Pubs,Les Corts,"Carrer Regent Mendieta, 38--08028 Barcelona--Spain",
68,Temple Bar,3.5,21,€,Pubs,Barri Gòtic,"Carrer de Ferran, 6--08002 Barcelona--Spain",http://templebarbcn.com/
69,Ina,4.5,6,€,Cocktail Bars,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer dels Carders, 44--08003 Barcelona--Spain",
70,Espai d’Art Tinta Roja,3.5,9,€€,Performing Arts,El Poble-sec,"Carrer de la Creu dels  Molers, 17--Poble Sec--08004 Barcelona--Spain",http://www.tintaroja.cat
71,Flann O’Brien,3.5,3,€,Pubs,Sarrià - Sant Gervasi,"Carrer de Casanova, 264--08021 Barcelona--Spain",
72,Mojito Rock,4.0,11,€,Music Venues,El Raval,"Carrer Valldonzella, 30--08001 Barcelona--Spain",
73,Never More,5.0,1,,Modern European,El Raval,"Carrer de la Cera, 17--08001 Barcelona--Spain",
74,Mingus,4.0,15,€€,Dive Bars,Barri Gòtic,"Carrer de la Comtessa de Sobradel, 9--08002 Barcelona--Spain",
75,Black Lab,4.0,83,€€,Burgers,Barceloneta,"Plaça Pau Vila, 1--08039 Barcelona--Spain",http://www.blacklab.es
76,Pepe Bar,5.0,1,,Pubs,El Raval,"Calle Pelai, 40--08001 Barcelona--Spain",
77,La Concha Barcelona,4.5,8,€,Pubs,El Raval,"Carrer de Guàrdia, 14--08001 Barcelona--Spain",http://laconchadelraval.com/
78,Stereo,4.5,2,€,Pubs,El Poble-sec,"Calle Nou de la Rambla, 119--08004 Barcelona--Spain",
79,Vicente Emilio Barcelona Villen,5.0,1,,Pubs,L'Eixample,Calle de la Marina 261--08025 Barcelona--Spain,
80,Ryans Beach,4.0,1,,Lounges,Barceloneta,"Carrer del Judici, 15--08003 Barcelona--Spain",http://www.ryanspubs.com
81,Bar Ardevol,4.0,8,€€,Pubs,L'Eixample,,
82,Two Schmucks,5.0,17,€€,Cocktail Bars,El Raval,"Carrer de Joaquin Costa, 52--08001 Barcelona--Spain",https://indianobarsl.wixsite.c…
83,Bernie’s,4.0,40,€€,Burgers,"Sant Pere, Santa Caterina i la Ribera-Born","Via Laietana, 20--08003 Barcelona--Spain",http://www.berniesdiner.com
84,Bonobo,4.0,4,,Pubs,Gràcia,"Carrer de Santa Rosa, 14--08012 Barcelona--Spain",
85,Veronica Griselda Villafan Zea,5.0,1,,Pubs,Les Corts,Calle Comtes de Bell Lloc 172--08014 Barcelona--Spain,
86,cactus bar,4.0,1,€€€,Pubs,Barri Gòtic,jaume1--08002 Barcelona--Spain,
87,absentha,4.0,3,,Pubs,Barceloneta,carrer de sant carles--Barcelona--Spain,
88,Bodega,5.0,5,€,Dive Bars,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer dels Mirallers, 15--08003 Barcelona--Spain",
89,El Vaso de Oro,4.5,178,€€,Tapas Bars,Barceloneta,"Carrer de Balboa, 6--08003 Barcelona--Spain",http://vasodeoro.com/
90,La Catedra,4.5,3,€€,Pubs,L'Eixample,Gran Via de les Corts Catalanes 578--Eixample--08011 Barcelona--Spain,
91,Cheers,3.0,16,€,Pubs,Barri Gòtic,"Carrer Santa Mónica, 2--08001 Barcelona--Spain",http://www.cheersbarcelona.com…
92,Belice Cocktail Bar,5.0,2,€€,Cocktail Bars,Sarrià - Sant Gervasi,"Carrer de Santaló, 36--08021 Barcelona--Spain",
93,Bodega Saltó,4.0,15,€,Tapas Bars,El Poble-sec,"Carrer de Blesa, 36--08004 Barcelona--Spain",http://bodegasalto.net
94,La Cervesera Artesana,4.0,37,€€,Breweries,Gràcia,"Carrer de Sant Agustí, 14--08012 Barcelona--Spain",http://www.lacervesera.net/
95,Ale&Hop,4.5,43,€,Vegan,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer de les Basses de Sant Pere, 10--08003 Barcelona--Spain",
96,Hendrix,4.5,2,€,Burgers,Sarrià - Sant Gervasi,"Travessera de Gràcia, 86--08006 Barcelona--Spain",http://www.hendrixbcn.es
97,Sonora,3.0,20,€,Pubs,Parc i Llacuna del Poblenou,"Carrer de Pamplona, 96--08018 Barcelona--Spain",http://www.tabernasonora.com
98,Ya lo sabes,4.0,1,,Pubs,L'Eixample,Diputació  340--08011 Barcelona--Spain,
99,The Cottage,5.0,1,,Irish Pub,Les Corts,,
100,Kentucky,4.0,13,€€,Pubs,El Raval,"Carrer de l'Arc del Teatre, 11--08001 Barcelona--Spain",
101,Hell Awaits,4.0,2,,Music Venues,El Raval,"Carrer de les Tàpies, 21--08001 Barcelona--Spain",http://www.hellawaitsmetalbar.…
102,Pepe’s Bar,3.5,4,€,Music Venues,Parc i Llacuna del Poblenou,"Carrer de Pamplona, 91--08018 Barcelona--Spain",
103,New York Café,4.0,1,€,Spanish,L'Eixample,"Carrer de Diputacio, 88--08015 Barcelona--Spain",
104,Enigma,4.0,1,,Dance Clubs,Les Corts,"Carrer del Taquígraf Garriga, 106--08029 Barcelona--Spain",
105,El Pony,4.0,7,,Music Venues,"Sant Pere, Santa Caterina i la Ribera-Born","Carrer del Portal Nou, 23--08003 Barcelona--Spain",
106,Dirty Dick’s,2.5,2,,Pubs,Sarrià - Sant Gervasi,,
107,Irish Sailing Pub,3.5,2,€€,Irish Pub,La Vila Olímpica,Moll de Mestral 26--08005 Barcelona--Spain,
