,name,rating,reviews,neighbourhood,price_range,street,postal_code
224,Hotel Front Maritim,3,4,La Vila Olímpica,[12 - 33],"Passeig García i Faria, 69-71",08019 Barcelona
225,Hotel Granvía,4,22,L'Eixample,[12 - 33],"Gran Vía de les Corts Catalanes, 642",08007 Barcelona
226,"roig cerrudo,ana 000950091r slne",,,El Poble-sec,,"Calle Salva, 78",08004 Barcelona
227,Sabor Intens,,,Gràcia,,"Plaza Llibertat, 1",08012 Barcelona
228,Aparthotel Silver,4.5,11,Gràcia,[12 - 33],"Carrer de Bretón de los Herreros, 26",08012 Barcelona
229,Chic&Basic Velvet,1,1,L'Eixample,,"Carrer del Consell de Cent, 74",08015 Barcelona
230,Chic&Basic Velvet,1,1,L'Eixample,,"Carrer del Consell de Cent, 74",08015 Barcelona
231,Hotel Catalonia Plaza Catalunya,4.5,5,L'Eixample,[12 - 33],"Carrer de Bergara, 11",08002 Barcelona
232,Omnium,4,3,L'Eixample,,"Carrer del Bruc, 42",08010 Barcelona
233,Ibis Styles,,,L'Eixample,[12 - 33],"Carrer de Provença, 340",08037 Barcelona
234,Patacolls,,,L'Eixample,,"RO San Pere, 0024",08010 Barcelona
235,Hotel Fira Congress,3,11,€€€,,"Carrer de Jose Augustin Goytisolo, 9-11",08908 Hospitalet de Llobregat
236,ANBA Bed And Breakfast,5,4,L'Eixample,,"Ronda de Sant Pere, 27",08010 Barcelona
237,Chic & Basic Lemon Boutique,,,El Raval,,"Carrer de Pelai, 6",08001 Barcelona
238,Tres Torres Atiram,3,1,Sarrià - Sant Gervasi,[12 - 33],"Carrer de Calatrava, 32",08017 Barcelona
239,Abba Rambla,4,5,El Raval,[12 - 33],"Rambla del Raval, 4C",08001 Barcelona
